symbol,snapshots,signals,avg_fut_ret_2h_all,avg_fut_ret_2h_when_signal
ICP,34.0,16.0,0.0005943077440301657,3.6052455543346866e-05
IMX,8.0,5.0,0.012436087770608067,0.0059875722918857
INSURANCE,34.0,0.0,0.0004528577636635586,
IP,34.0,14.0,-0.0036166344484416663,-0.004562898919448226
JITOSOL,34.0,17.0,-0.0028706601637366064,-0.004788683022256681
JLP,34.0,15.0,-0.0009235570742122877,0.0003035848055177207
JUP,33.0,17.0,-0.0002662621833941646,-0.0007101340443396265
KAS,34.0,17.0,0.00042269346675792227,0.0011733553270870598
KCS,34.0,15.0,-0.00011876073896972946,0.0003873992115916933
L1X,34.0,0.0,-2.5891217822229878e-05,
LEO,34.0,0.0,0.00042659424859444286,
LINK,34.0,13.0,0.00016880285630542198,0.0001318081528273333
LSETH,34.0,2.0,-0.00033007842499941037,-0.0007422728122154
LTC,34.0,22.0,0.0005851753557963407,0.001041047430340581
M,34.0,16.0,-0.005805973742327809,0.0008659707022235567
MGC,34.0,2.0,-3.682956729644674e-05,0.0009135810693790001
MKR,33.0,17.0,0.004386397452839185,-0.014005566230334318
MNT,34.0,15.0,0.0029644060751458125,0.00215455509906065
MRS,19.0,0.0,0.04244069821839864,
MYX,34.0,14.0,0.0003781395185116555,-0.005274184026984307
NEAR,34.0,17.0,0.0007645694008990307,0.0053504286592696805
OKB,34.0,16.0,-0.0016668937872843818,-0.0024670846646177073
ONDO,34.0,14.0,-0.000888505681268197,-0.003519616540232542
PENGU,34.0,18.0,-0.0018793637289912595,-0.003648004432310053
PEPE,34.0,16.0,-3.504802075722513e-05,-0.00222400362106018
PLSX,34.0,3.0,-0.0004864559431983341,0.004110871805113833
POL,34.0,19.0,-0.00046112097862308814,-0.0005064452494547778
PUMP,34.0,16.0,0.0014082219751810178,0.001526308946056266
PYUSD,34.0,14.0,-9.569542872653336e-06,-6.406446219024005e-06
RENDER,34.0,15.0,-0.0005945407250341722,-0.0014043150955438933
RETH,34.0,11.0,-0.0005928524645828477,-6.286936299460892e-05
RSETH,34.0,1.0,-0.00010139192851778484,0.0002142509960502
RYO,34.0,19.0,3.141800487737181e-05,0.00017778978123925867
SEI,34.0,18.0,0.0006212359168673623,-0.00048073430653249976
SHIB,34.0,18.0,0.0003804477382407783,-0.0008472677952868586
SKY,34.0,16.0,0.002006296694124978,0.002360655199462653
SOL,34.0,13.0,-0.002862465121362525,-0.00585243079108819
STETH,34.0,14.0,-0.00032156889971679363,0.0004857810292821923
SUI,34.0,18.0,6.670288730464282e-05,-0.0006491129544671125
SUSDE,34.0,14.0,-7.203896433004937e-05,-9.911001187321398e-05
SUSDS,34.0,14.0,-7.592348127575936e-05,-0.0007674188284946143
T99,34.0,0.0,-4.890677880114949e-05,
TAO,34.0,13.0,-0.0013180871550773593,-0.0011477078942503387
TON,34.0,15.0,0.0005230672103982031,0.0014674621198083003
TRUMP,34.0,13.0,0.00012078852065037496,0.0007981936415626499
TRX,34.0,12.0,-0.00038733128998737817,-0.0007637778153067546
UNI,34.0,22.0,-0.0008672785868276891,-0.001124701923376405
USD1,34.0,14.0,-9.370565192906482e-05,-0.00015719124278423802
USDC,34.0,16.0,-7.787122316490917e-06,-5.165520186815973e-05
USDE,34.0,13.0,-4.7368882333400364e-05,-2.3740711289591977e-05
USDF,34.0,13.0,-7.030097133263046e-05,-0.0001132826687442682
USDT,34.0,16.0,-4.4047072654497693e-05,-6.509400291490233e-05
USDT0,34.0,18.0,-4.307925959594997e-05,-5.673594117625877e-05
USDTB,34.0,14.0,2.4821257537877754e-06,-0.0001864040461671545
VET,34.0,13.0,-0.0008003062671916205,-0.0012511530215630821
WBETH,34.0,16.0,-0.0003927416281055882,-0.0005884020674375614
WBNB,34.0,17.0,0.0016165303545664748,0.0036984774503437375
WBTC,34.0,11.0,-0.0001338525679522015,0.00020295968013825
WEETH,34.0,14.0,-0.0002419590921640749,-0.0001291962577299232
WETH,34.0,13.0,-0.00032751567498120614,-0.00020427475903376643
WLD,34.0,17.0,-0.0031004774877042528,-0.0020461127018043465
WLFI,34.0,16.0,-0.0036566029389521904,-0.004901362097599893
WSTETH,34.0,13.0,-0.00020674736781770627,-0.0006690992254306749
XLM,34.0,14.0,-0.0001272025938335408,-0.0006356338932301306
XMR,34.0,15.0,0.0022688692542402783,0.0025217253030642714
XRP,34.0,15.0,0.0004645025958636374,-0.0009120841038582383
ZBU,34.0,0.0,-0.0005933740729723507,
ZETRIX,34.0,0.0,-0.0015418781020450987,
