snapshot_time,alt_rank,price,galaxy_score,social_volume_24h,interactions_24h,volume_24h,market_cap,altrank_improve_1h,alt_rank_prev,price_next1,price_next2,price_next4,fut_ret_1h,fut_ret_2h,fut_ret_4h,symbol
2025-09-24 02:06:21.173045+00:00,785.0,1.0006050342673913,51.7,5866.0,11834965.0,132232104882.45,172851639475.23,0.0,549.0,1.0003446418049275,1.000491644600238,1.000392399543468,-0.00026023501136433725,-0.00011332110400210095,-0.00021250615042026384,USDT
2025-09-24 03:06:44.293854+00:00,1034.0,1.0003446418049275,51.7,5754.0,11378445.0,131677783727.37,172806657426.87,0.0,785.0,1.000491644600238,1.0001234698114967,1.0009270029463437,0.00014695214945652016,-0.00022109579457715262,0.0005821605045691356,USDT
2025-09-24 04:07:09.245829+00:00,791.0,1.000491644600238,38.1,5713.0,11417590.0,130905616542.07,172832051736.62,243.0,1034.0,1.0001234698114967,1.000392399543468,1.000162546249867,-0.0003679938665439973,-9.919628745096974e-05,-0.00032893663045302144,USDT
2025-09-24 05:07:32.149141+00:00,892.0,1.0001234698114967,53.7,5559.0,11502579.0,133113645143.9,172768450601.64,0.0,791.0,1.000392399543468,1.0009270029463437,1.000168124715598,0.0002688965313673057,0.0008034339350105396,4.464939124940566e-05,USDT
2025-09-24 06:07:54.984407+00:00,839.0,1.000392399543468,53.7,5468.0,11028980.0,132641758109.19,172814907438.74,53.0,892.0,1.0009270029463437,1.000162546249867,1.0001946206040062,0.0005343937070290293,-0.00022976313465200224,-0.000197701361537813,USDT
2025-09-24 07:08:20.971421+00:00,631.0,1.0009270029463437,53.7,5482.0,11643132.0,129561993891.22,172907258637.75,287.5,839.0,1.000162546249867,1.000168124715598,1.0003307410709128,-0.0007637486991824368,-0.0007581753999161511,-0.0005957096508294524,USDT
2025-09-24 08:08:43.825382+00:00,411.0,1.000162546249867,53.7,5482.0,11643132.0,129986581432.62,172775200943.89,643.0,631.0,1.000168124715598,1.0001946206040062,1.0003872851954865,5.577559119808078e-06,3.206914142064765e-05,0.00022470242108370156,USDT
2025-09-24 09:09:06.207916+00:00,508.0,1.000168124715598,53.7,5226.0,12314400.0,129357478184.53,172776164607.79,0.0,411.0,1.0001946206040062,1.0003307410709128,1.0001494775163917,2.6491434543297237e-05,0.00016258902008202126,-1.864406467822925e-05,USDT
2025-09-24 10:09:29.751633+00:00,521.0,1.0001946206040062,62.3,5226.0,12314400.0,129705384308.05634,172780741696.24,0.0,508.0,1.0003307410709128,1.0003872851954865,1.0003251693773452,0.00013609398021395544,0.00019262710227726954,0.00013052337080169418,USDT
2025-09-24 11:09:52.318243+00:00,579.0,1.0003307410709128,62.3,5226.0,12314400.0,129757200507.84,172804256115.08,0.0,521.0,1.0003872851954865,1.0001494775163917,1.0001713722074927,5.652542929265835e-05,-0.000181203623040745,-0.00015931617101903417,USDT
2025-09-24 12:10:17.231639+00:00,321.0,1.0003872851954865,62.3,5226.0,12314400.0,128833804476.19,172814023949.84,258.0,579.0,1.0001494775163917,1.0003251693773452,1.0004134192585752,-0.0002377156153561958,-6.209177091766823e-05,2.6123945671305722e-05,USDT
2025-09-24 13:10:40.481534+00:00,761.0,1.0001494775163917,62.3,5226.0,12314400.0,125482586303.03,172772943357.8,0.0,321.0,1.0003251693773452,1.0001713722074927,1.0003898544028267,0.00017566560289541676,2.189141882611562e-05,0.00024034096086505028,USDT
2025-09-24 14:11:03.128688+00:00,1892.0,1.0003251693773452,62.3,4793.0,13798513.0,128534609038.97,172803293621.06,0.0,761.0,1.0001713722074927,1.0004134192585752,1.0002207805209113,-0.00015374717597893932,8.822119439916667e-05,-0.00010435492340835596,USDT
2025-09-24 15:11:25.545573+00:00,289.0,1.0001713722074927,53.4,4679.0,14566661.0,134227968671.3399,172776725602.66,1608.0,1892.0,1.0004134192585752,1.0003898544028267,1.0001570754711016,0.0002420055780523027,0.0002184447599732037,-1.4294286747720506e-05,USDT
2025-09-24 16:11:48.096411+00:00,599.0,1.0004134192585752,54.6,4601.0,14479190.0,134732786923.7,172818538534.02,0.0,289.0,1.0003898544028267,1.0002207805209113,1.000186858305882,-2.3555117609245866e-05,-0.0001925591300110806,-0.00022646732673893249,USDT
2025-09-24 17:12:13.053916+00:00,532.0,1.0003898544028267,54.6,4526.0,14891983.0,135087065823.4,172814467773.02,72.0,599.0,1.0002207805209113,1.0001570754711016,1.00030515443131,-0.00016900799340499627,-0.00023268821719916956,-8.466696372813844e-05,USDT
2025-09-24 18:12:35.638953+00:00,458.0,1.0002207805209113,54.6,4560.0,15227208.0,134228654681.57774,172785260746.59,174.5,532.0,1.0001570754711016,1.000186858305882,1.0003222969952754,-6.369098808026669e-05,-3.3914727318238846e-05,0.00010149406645121123,USDT
2025-09-24 19:12:57.981213+00:00,474.0,1.0001570754711016,54.6,4610.0,15553284.0,132839166707.25548,173066597310.52,0.0,458.0,1.000186858305882,1.00030515443131,1.0001269150173526,2.977815736229346e-05,0.00014805570428890827,-3.0155717025470436e-05,USDT
2025-09-24 20:13:20.216087+00:00,551.0,1.000186858305882,54.6,4576.0,15911462.0,132302407975.04208,173071750914.89,0.0,474.0,1.00030515443131,1.0003222969952754,,0.00011827402494408815,0.00013541338627752093,,USDT
2025-09-24 21:13:42.365989+00:00,450.0,1.00030515443131,54.6,4762.0,16492566.0,132090849612.20235,173092220807.48,101.0,551.0,1.0003222969952754,1.0001269150173526,,1.7137334431912697e-05,-0.00017818504000278735,,USDT
2025-09-24 22:14:04.478129+00:00,651.0,1.0003222969952754,54.6,4620.0,16977978.0,133343550412.08778,173095187146.75,0.0,450.0,1.0001269150173526,,,-0.00019531902718721022,,,USDT
2025-09-24 23:14:26.685456+00:00,61.0,1.0001269150173526,54.6,5077.0,17362826.0,133182343004.64873,173061378363.19,590.0,651.0,,,,,,,USDT
2025-09-23 10:00:20.163097+00:00,221.0,2.848197289995716,37.6,18109.0,6538388.0,10067492102.32,170257377183.91,0.0,,2.854210615133745,2.8542184582822787,2.852549070174139,0.0021112740887545096,0.0021140278125085826,0.0015279068601422325,XRP
2025-09-23 11:00:43.154892+00:00,134.0,2.854210615133745,52.7,17839.0,6553330.0,9998906601.38,170616837172.78,87.0,221.0,2.8542184582822787,2.8228763391138636,2.8486023199966306,2.747922137266914e-06,-0.010978263430785076,-0.001964919865190664,XRP
2025-09-23 12:01:06.509976+00:00,312.0,2.8542184582822787,53.3,18052.0,6589729.0,9274249321.88,170617306014.56,0.0,134.0,2.8228763391138636,2.852549070174139,2.8732044147233418,-0.010980981178041074,-0.000584884490286779,0.00665189323051647,XRP
2025-09-23 13:01:29.588835+00:00,313.0,2.8228763391138636,35.1,18471.0,6803124.0,8979308654.1,168743760588.56,0.0,312.0,2.852549070174139,2.8486023199966306,2.875097732690119,0.010511523529787428,0.009113392792417793,0.01849935572900384,XRP
2025-09-23 14:01:52.989822+00:00,282.0,2.852549070174139,35.1,18527.0,6823643.0,8845451407.25,170517514598.5,31.0,313.0,2.8486023199966306,2.8732044147233418,2.8741540137132056,-0.0013835871287106818,0.007241012876928931,0.007573907760243184,XRP
2025-09-23 15:02:16.162829+00:00,298.0,2.8486023199966306,35.1,18359.0,6830913.0,8963612517.84,170281588760.08,0.0,282.0,2.8732044147233418,2.875097732690119,2.8611786015071905,0.008636549424259492,0.009301197470596658,0.004414895481295111,XRP
2025-09-23 16:02:39.408664+00:00,168.0,2.8732044147233418,35.1,18379.0,6927855.0,9007948456.49,171752234117.45,135.0,298.0,2.875097732690119,2.8741540137132056,2.856447369716625,0.0006589569322235573,0.00033050171613189383,-0.005832179889759159,XRP
2025-09-23 17:03:01.954559+00:00,17.0,2.875097732690119,35.1,18467.0,6843923.0,7767964881.43,171865411442.74,346.0,168.0,2.8741540137132056,2.8611786015071905,2.863051729009561,-0.00032823892077939035,-0.004841272359080794,-0.00418977189665371,XRP
2025-09-23 18:03:24.302506+00:00,31.0,2.8741540137132056,55.4,18428.0,6777447.0,7493858713.28,171808998525.57,0.0,17.0,2.8611786015071905,2.856447369716625,2.8687566348929323,-0.004514515277924071,-0.0061606455019801686,-0.0018779017389190676,XRP
