strategy,symbol,entry_time,entry_price,tp_price,sl_price,outcome,hit_time,hit_price,realized_pnl_usd,final_price,final_unrealized_pnl_usd
TP 4% / SL 2%,OKB,2025-09-23 10:00:20.163097+00:00,183.56287434293898,190.90538931665654,179.8916168560802,no_hit,,,-0.16332852174098825,180.56476905164308,-0.16332852174098825
TP 4% / SL 2%,PENGU,2025-09-23 10:00:20.163097+00:00,0.03052663332236611,0.03174769865526075,0.02991610065591879,sl,2025-09-23 13:01:29.588835+00:00,0.02976505646224513,-0.2,0.02956038208349984,0.0
TP 4% / SL 2%,PEPE,2025-09-23 10:00:20.163097+00:00,9.621446700679396e-06,1.0006304568706573e-05,9.429017766665808e-06,no_hit,,,0.00026090587485560893,9.621697729876278e-06,0.00026090587485560893
TP 4% / SL 2%,POL,2025-09-23 10:00:20.163097+00:00,0.2269432786663184,0.23602100981297114,0.22240441309299203,no_hit,,,-0.12118951113249489,0.22419296416668072,-0.12118951113249489
TP 4% / SL 2%,PUMP,2025-09-23 10:00:20.163097+00:00,0.00562369,0.0058486376,0.005511216199999999,tp,2025-09-23 20:04:08.543883+00:00,0.0058698543292748945,0.4,0.00585712,0.0
TP 4% / SL 2%,RYO,2025-09-23 10:00:20.163097+00:00,6.675132195507821,6.942137483328135,6.541629551597665,no_hit,,,0.04679738631223236,6.706370069511661,0.04679738631223236
TP 4% / SL 2%,SEI,2025-09-23 10:00:20.163097+00:00,0.28846148829519425,0.299999947827002,0.28269225852929036,no_hit,,,0.07108507377353754,0.2905120189128231,0.07108507377353754
TP 4% / SL 2%,SHIB,2025-09-23 10:00:20.163097+00:00,1.2088276419813053e-05,1.2571807476605574e-05,1.184651089141679e-05,no_hit,,,0.020755383686762024,1.2113366101333538e-05,0.020755383686762024
TP 4% / SL 2%,STETH,2025-09-23 10:00:20.163097+00:00,4185.830180880786,4353.263388116018,4102.113577263171,no_hit,,,-0.05622793418306282,4162.294122489582,-0.05622793418306282
TP 4% / SL 2%,SUI,2025-09-23 10:00:20.163097+00:00,3.3636717545544768,3.498218624736656,3.2963983194633872,no_hit,,,-0.07669847811978907,3.337872904107592,-0.07669847811978907
TP 4% / SL 2%,SUSDE,2025-09-23 10:00:20.163097+00:00,1.1973819426883159,1.2452772203958486,1.1734343038345496,no_hit,,,-0.010205055550675343,1.196160007764265,-0.010205055550675343
TP 4% / SL 2%,SUSDS,2025-09-23 10:00:20.163097+00:00,1.068,1.1107200000000002,1.04664,no_hit,,,0.05617977528089893,1.074,0.05617977528089893
TP 4% / SL 2%,T99,2025-09-23 10:00:20.163097+00:00,0.16970172501119615,0.176489794011644,0.16630769051097222,no_hit,,,-0.009154026610780306,0.16954637960053137,-0.009154026610780306
TP 4% / SL 2%,TAO,2025-09-23 10:00:20.163097+00:00,316.73600504439395,329.40544524616973,310.4012849435061,sl,2025-09-24 06:07:54.984407+00:00,309.59193164498737,-0.2,309.59193164498737,0.0
TP 4% / SL 2%,UNI,2025-09-23 10:00:20.163097+00:00,8.204094226053533,8.532257995095675,8.040012341532462,no_hit,,,-0.17050734537649315,8.064208393283232,-0.17050734537649315
TP 4% / SL 2%,USDTB,2025-09-23 10:00:20.163097+00:00,0.999941,1.03993864,0.97994218,no_hit,,,0.0005900348120542237,1.0,0.0005900348120542237
TP 4% / SL 2%,UZX,2025-09-23 10:00:20.163097+00:00,2.7359540744516213,2.845392237429686,2.681234992962589,no_hit,,,-0.0809910351431058,2.713795299192238,-0.0809910351431058
TP 4% / SL 2%,WBETH,2025-09-23 10:00:20.163097+00:00,4523.004729349225,4703.924918523195,4432.544634762241,no_hit,,,-0.07411915725970797,4489.4805994671215,-0.07411915725970797
TP 4% / SL 2%,WEETH,2025-09-23 10:00:20.163097+00:00,4503.268573111907,4683.399316036383,4413.203201649669,no_hit,,,-0.04935887041128545,4481.040948119163,-0.04935887041128545
TP 4% / SL 2%,WLFI,2025-09-23 10:00:20.163097+00:00,0.21288,0.22139520000000001,0.2086224,sl,2025-09-23 13:01:29.588835+00:00,0.207337,-0.2,0.195567613873244,0.0
TP 4% / SL 2%,ZETRIX,2025-09-23 10:00:20.163097+00:00,14.384535506349525,14.959916926603507,14.096844796222534,sl,2025-09-23 22:04:52.221195+00:00,14.086648588334919,-0.2,14.0496032339837,0.0
TP 5% / SL 2.5%,ALGO,2025-09-23 10:00:20.163097+00:00,0.21305624905858864,0.22370906151151806,0.20772984283212392,no_hit,,,0.01993975833458364,0.21348107807037875,0.01993975833458364
TP 5% / SL 2.5%,APT,2025-09-23 10:00:20.163097+00:00,4.262954311006833,4.476102026557175,4.156380453231662,no_hit,,,0.02913050510847547,4.2753725122402315,0.02913050510847547
TP 5% / SL 2.5%,ARB,2025-09-23 10:00:20.163097+00:00,0.4360607052784293,0.45786374054235074,0.42515918764646854,no_hit,,,-0.06531341172119362,0.43321264404050086,-0.06531341172119362
TP 5% / SL 2.5%,BGB,2025-09-23 10:00:20.163097+00:00,5.144799814025732,5.402039804727019,5.016179818675089,no_hit,,,0.19280065431127896,5.243991891070203,0.19280065431127896
TP 5% / SL 2.5%,CBBTC,2025-09-23 10:00:20.163097+00:00,112760.1910500108,118398.20060251135,109941.18627376054,no_hit,,,-0.08245827269027453,111830.38999178988,-0.08245827269027453
